	Parameters of four-bladed to seven-bladed propellers	Parameters of three-bladed propellers	t/D = Ar - Br
r/R	c/D*Z(AE/AO)	a/c	b/c	c/D*Z/(AE/AO)	a/c	b/c	Ar	Br	Pitch factor
0.0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.2	1.662	0.617	0.350	1.633	0.616	0.350	0.0526	0.0040	0.882
0.3	1.882	0.613	0.350	1.832	0.611	0.350	0.0464	0.0035	0.887
0.4	2.050	0.601	0.351	2.000	0.599	0.350	0.0402	0.0030	0.950
0.5	2.152	0.586	0.355	2.120	0.583	0.355	0.0340	0.0025	0.992
0.6	2.187	0.561	0.389	2.186	0.558	0.389	0.0278	0.0020	1.000
0.7	2.144	0.524	0.443	2.168	0.526	0.442	0.0217	0.0015	1.000
0.8	1.970	0.463	0.479	2.127	0.481	0.478	0.0154	0.0010	1.000
0.9	1.582	0.351	0.500	1.657	0.400	0.500	0.0092	0.0005	1.000
1.0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000